r2,features,time needed
0.21909328873620748,['bigRoad_50m'],294.8283853530884
0.21785124570931302,['bigRoad_50m'],282.7117142677307
0.1588537939262401,['bigRoad_50m'],325.02528953552246
0.18139492692448766,['bigRoad_50m'],285.4806053638458
0.0,[],75.1152036190033
0.0,[],80.982013463974
0.24054482647185016,['bigRoad_50m'],307.10108041763306
0.0,[],82.64572477340698
0.0,[],87.8665087223053
0.0,[],88.1598801612854
0.0,[],92.10391879081726
0.0,[],89.92658591270447
0.4131915650397773,"['bigRoad_50m', 'bigRoad_100m', 'traffic_signals']",902.3316433429718
0.0,[],73.10270547866821
0.22284625645095102,['bigRoad_50m'],252.18868684768677
0.0,[],72.96018743515015
0.0,[],72.65157771110535
0.0,[],73.24288153648376
0.0,[],73.09560370445251
0.24098925789499293,['bigRoad_50m'],252.28251814842224
0.0,[],73.61490821838379
0.0,[],73.33455085754395
0.0,[],73.05434608459473
0.0605288660237272,['bigRoad_50m'],264.5445604324341
0.0,[],100.6458170413971
0.0,[],87.90763401985168
0.0,[],77.38836145401001
0.01846301929190919,['bigRoad_50m'],263.66157579421997
0.0,[],76.34711027145386
0.0,[],74.86685991287231
0.1822174712135609,['bigRoad_50m'],289.64640188217163
0.014280286815254173,['bigRoad_50m'],326.33047819137573
0.0,[],77.19774007797241
0.0,[],78.1364312171936
0.0,[],75.99294400215149
0.037157180362646924,['bigRoad_50m'],268.0866229534149
0.0,[],80.36451077461243
0.0,[],76.72936058044434
0.0,[],91.70939898490906
0.49883283996194794,"['bigRoad_50m', 'residential_1350m', 'primary']",1123.260092973709
